CPU times,RSS memory,VMS memory,Shared memory,Text segment,Data segment,Library code,Memory Percent
6.2,7996677.555926545,11158652.794657763,3139307.058430718,20411.61936560935,5365835.21869783,0.0,0.09797103376081867
0.91,10116049.454545455,13088069.818181818,3150382.5454545454,12148.363636363636,7358091.636363637,0.0,0.12393644931986515
0.19999999999999998,1970518.6311787071,6193642.585551331,1794725.475285171,16352.851711026617,400644.8669201521,0.0,0.024141744617232303
0.5,6001251.546118115,11327660.591904446,1944662.295952223,8186.56403450564,5539759.819508959,0.0,0.0735241372082284
1.3,4462624.507936508,7575454.476190476,3023238.095238095,20317.460317460318,1809359.238095238,0.0,0.05467369832923707
0.26,5705296.842105263,7747045.052631579,2142315.789473684,8084.210526315789,3927525.052631579,0.0,0.06989825782323016
0.15,1919742.5698324023,6188106.368715084,1740021.9888268157,16338.234636871508,400286.74860335194,0.0,0.023519663360909524
0.6,8909025.417449664,15128823.409395972,2052348.9073825504,8131.522147651007,9379837.251006711,0.0,0.10916587752368449
1.14,4024628.1061946903,7091045.946902655,2896089.4867256638,19755.04424778761,1484564.389380531,0.0,0.04930759972615357
0.06,2177706.6666666665,3370666.6666666665,1365333.3333333333,5120.0,955733.3333333334,0.0,0.026680102063517713
0.06,1934282.105263158,6042138.947368421,1758800.8421052631,15952.842105263158,390844.63157894736,0.0,0.02369779400411608
0.37,10813488.41607565,16882114.269503545,2160228.463356974,8133.900709219858,11131446.468085106,0.0,0.13248109996612595
2.2699999999999996,5348798.836363636,8521802.472727273,3086578.036363636,20386.909090909092,2735997.672727273,0.0,0.06553063415553657
1.07,17620367.84761905,20622462.78095238,3105743.238095238,12053.942857142858,14937019.733333332,0.0,0.2158753608863153
0.07,1861420.1379310344,5838615.960591133,1691849.7733990147,15415.487684729063,377679.4482758621,0.0,0.022805127992331645
0.9,8914095.494176373,15025550.12756517,2120639.8225180255,8173.825845812535,9246655.254575707,0.0,0.10922499989547499
1.63,4606356.382165605,7710237.350318471,3133831.3375796177,20349.554140127388,1935033.8853503184,0.0,0.05643462468948113
0.26,6252316.444444444,8863592.296296297,2984770.3703703703,11377.777777777777,3496163.5555555555,0.0,0.0766000506057693
0.36,2012597.7098039216,6197328.31372549,1832609.2967320262,16362.583006535948,400883.2836601307,0.0,0.024657275073948114
0.64,4430539.47012987,9408017.288311688,1923141.1532467532,8186.680519480519,3620034.1610389613,0.0,0.05428060953702427
1.63,4621402.734177215,7598157.772151899,3138028.5569620254,20350.379746835442,1822720.0,0.0,0.05661896457946632
1.31,16668000.0,19627904.0,3096704.0,12192.0,13877344.0,0.0,0.20420745732270995
0.16,1978028.9574944072,6191557.583892617,1802294.9798657717,16347.346756152125,400509.99552572705,0.0,0.024233757134666585
0.7799999999999999,10165094.328190744,17013146.74894811,2253676.072931276,8186.255259467041,11225464.280504908,0.0,0.12453732098664107
0.96,3923709.305263158,6833550.821052631,3038455.915789474,19833.263157894737,1204870.7368421052,0.0,0.04810605962563064
0.01,954368.0,1590886.4,616038.4,2457.6,431718.4,0.0,0.011692408365140364
0.18,1903903.3469387756,5989882.775510204,1733924.5714285714,15798.857142857143,392009.14285714284,0.0,0.023325609639222675
0.76,10858257.425964912,17542808.701754387,2167815.9045614037,8157.507368421053,11775450.992280701,0.0,0.13303191024723857
7.11,9166067.237536658,12291171.096774194,3075675.589442815,20449.9706744868,6487469.419354838,0.0,0.11229777323172314
